"alter","positive_tests"
0,2
1,1
2,1
3,2
5,1
6,2
7,5
8,1
9,3
10,5
11,1
12,3
13,1
14,4
15,4
16,3
17,9
18,11
19,13
20,26
21,40
22,34
23,46
24,38
25,29
26,41
27,42
28,32
29,37
30,39
31,35
32,32
33,34
34,21
35,33
36,37
37,23
38,30
39,40
40,29
41,32
42,38
43,39
44,40
45,48
46,33
47,30
48,41
49,40
50,57
51,41
52,44
53,53
54,47
55,41
56,30
57,32
58,37
59,26
60,28
61,23
62,22
63,25
64,15
65,16
66,19
67,18
68,11
69,20
70,17
71,12
72,22
73,15
74,6
75,13
76,9
77,8
78,14
79,16
80,11
81,6
82,6
83,5
84,5
85,5
86,3
87,1
88,4
89,4
91,1
93,2
94,2
95,3
96,1
97,1
99,1
