"gkz","bezirk","positive_tests"
"103","Eisenstadt-Umgebung",4
"105","Jennersdorf",2
"106","Mattersburg",3
"107","Neusiedl am See",11
"108","Oberpullendorf",1
"109","Oberwart",4
"201","Klagenfurt Stadt",18
"202","Villach Stadt",4
"203","Hermagor",2
"204","Klagenfurt Land",4
"205","Sankt Veit an der Glan",2
"206","Spittal an der Drau",8
"207","Villach Land",5
"208","Völkermarkt",12
"209","Wolfsberg",2
"301","Krems an der Donau(Stadt)",1
"302","Sankt Pölten(Stadt)",2
"304","Wiener Neustadt(Stadt)",3
"305","Amstetten",54
"306","Baden",9
"307","Bruck an der Leitha",9
"308","Gänserndorf",2
"310","Hollabrunn",2
"312","Korneuburg",50
"313","Krems(Land)",10
"314","Lilienfeld",3
"315","Melk",8
"316","Mistelbach",14
"317","Mödling",32
"318","Neunkirchen",22
"319","Sankt Pölten(Land)",25
"320","Scheibbs",3
"321","Tulln",42
"322","Waidhofen an der Thaya",1
"401","Linz(Stadt)",61
"402","Steyr(Stadt)",3
"403","Wels(Stadt)",14
"404","Braunau am Inn",4
"405","Eferding",5
"406","Freistadt",18
"407","Gmunden",13
"408","Grieskirchen",9
"409","Kirchdorf an der Krems",14
"410","Linz-Land",36
"411","Perg",40
"412","Ried im Innkreis",11
"413","Rohrbach",20
"414","Schärding",9
"415","Steyr-Land",17
"416","Urfahr-Umgebung",57
"417","Vöcklabruck",13
"418","Wels-Land",18
"501","Salzburg(Stadt)",24
"502","Hallein",4
"503","Salzburg-Umgebung",22
"504","Sankt Johann im Pongau",30
"505","Tamsweg",2
"506","Zell am See",36
"601","Graz(Stadt)",62
"603","Deutschlandsberg",7
"606","Graz-Umgebung",29
"610","Leibnitz",27
"611","Leoben",7
"612","Liezen",10
"614","Murau",1
"616","Voitsberg",9
"617","Weiz",26
"619","Gröbming",5
"620","Murtal",12
"621","Bruck-Mürzzuschlag",5
"622","Hartberg-Fürstenfeld",33
"623","Südoststeiermark",14
"701","Innsbruck-Stadt",107
"702","Imst",19
"703","Innsbruck-Land",56
"704","Kitzbühel",17
"705","Kufstein",23
"706","Landeck",199
"707","Lienz",22
"708","Reutte",6
"709","Schwaz",12
"801","Bludenz",39
"802","Bregenz",38
"803","Dornbirn",16
"804","Feldkirch",45
"901","Wien  1.,Innere Stadt",8
"902","Wien  2.,Leopoldstadt",11
"903","Wien  3.,Landstraße",11
"904","Wien  4.,Wieden",13
"905","Wien  5.,Margareten",5
"906","Wien  6.,Mariahilf",15
"907","Wien  7.,Neubau",4
"908","Wien  8.,Josefstadt",10
"909","Wien  9.,Alsergrund",4
"910","Wien 10.,Favoriten",13
"911","Wien 11.,Simmering",11
"912","Wien 12.,Meidling",12
"913","Wien 13.,Hietzing",10
"914","Wien 14.,Penzing",9
"915","Wien 15.,Rudolfsheim-Fünfhaus",6
"916","Wien 16.,Ottakring",8
"917","Wien 17.,Hernals",5
"918","Wien 18.,Währing",4
"919","Wien 19.,Döbling",16
"920","Wien 20.,Brigittenau",8
"921","Wien 21.,Floridsdorf",19
"922","Wien 22.,Donaustadt",20
"923","Wien 23.,Liesing",7
