"datum","bundesland","neu_positive_tests"
"2020-02-26","Tirol",2
"2020-02-27","Wien",3
"2020-02-28","Niederösterreich",3
"2020-02-28","Salzburg",1
"2020-02-28","Steiermark",1
"2020-02-28","Wien",1
"2020-03-01","Salzburg",1
"2020-03-01","Wien",2
"2020-03-02","Niederösterreich",1
"2020-03-02","Steiermark",1
"2020-03-02","Wien",3
"2020-03-03","Niederösterreich",2
"2020-03-03","Salzburg",1
"2020-03-03","Steiermark",1
"2020-03-03","Wien",4
"2020-03-04","Kärnten",1
"2020-03-04","Niederösterreich",7
"2020-03-04","Oberösterreich",1
"2020-03-04","Salzburg",1
"2020-03-04","Wien",3
"2020-03-05","Niederösterreich",10
"2020-03-05","Salzburg",1
"2020-03-05","Steiermark",1
"2020-03-05","Tirol",2
"2020-03-05","Vorarlberg",1
"2020-03-05","Wien",1
"2020-03-06","Niederösterreich",7
"2020-03-06","Oberösterreich",3
"2020-03-06","Steiermark",2
"2020-03-06","Tirol",3
"2020-03-06","Wien",6
"2020-03-07","Burgenland",4
"2020-03-07","Niederösterreich",2
"2020-03-07","Oberösterreich",3
"2020-03-07","Salzburg",3
"2020-03-07","Steiermark",2
"2020-03-07","Wien",3
"2020-03-08","Niederösterreich",4
"2020-03-08","Oberösterreich",3
"2020-03-08","Salzburg",1
"2020-03-08","Steiermark",1
"2020-03-08","Tirol",14
"2020-03-08","Vorarlberg",1
"2020-03-08","Wien",7
"2020-03-09","Kärnten",2
"2020-03-09","Niederösterreich",5
"2020-03-09","Oberösterreich",6
"2020-03-09","Salzburg",2
"2020-03-09","Steiermark",8
"2020-03-09","Vorarlberg",1
"2020-03-09","Wien",2
"2020-03-10","Niederösterreich",4
"2020-03-10","Oberösterreich",18
"2020-03-10","Salzburg",1
"2020-03-10","Steiermark",1
"2020-03-10","Tirol",24
"2020-03-10","Vorarlberg",9
"2020-03-10","Wien",8
"2020-03-11","Burgenland",2
"2020-03-11","Niederösterreich",17
"2020-03-11","Oberösterreich",25
"2020-03-11","Salzburg",2
"2020-03-11","Steiermark",7
"2020-03-11","Tirol",30
"2020-03-11","Vorarlberg",3
"2020-03-11","Wien",10
"2020-03-12","Niederösterreich",11
"2020-03-12","Oberösterreich",22
"2020-03-12","Salzburg",6
"2020-03-12","Steiermark",17
"2020-03-12","Tirol",70
"2020-03-12","Vorarlberg",2
"2020-03-12","Wien",3
"2020-03-13","Burgenland",3
"2020-03-13","Kärnten",2
"2020-03-13","Niederösterreich",34
"2020-03-13","Oberösterreich",41
"2020-03-13","Salzburg",12
"2020-03-13","Steiermark",32
"2020-03-13","Tirol",35
"2020-03-13","Vorarlberg",9
"2020-03-13","Wien",14
"2020-03-14","Kärnten",7
"2020-03-14","Niederösterreich",28
"2020-03-14","Oberösterreich",42
"2020-03-14","Salzburg",7
"2020-03-14","Steiermark",22
"2020-03-14","Tirol",39
"2020-03-14","Vorarlberg",12
"2020-03-14","Wien",17
"2020-03-15","Kärnten",9
"2020-03-15","Niederösterreich",39
"2020-03-15","Oberösterreich",52
"2020-03-15","Salzburg",14
"2020-03-15","Steiermark",26
"2020-03-15","Tirol",22
"2020-03-15","Vorarlberg",16
"2020-03-15","Wien",25
"2020-03-16","Burgenland",8
"2020-03-16","Kärnten",17
"2020-03-16","Niederösterreich",32
"2020-03-16","Oberösterreich",32
"2020-03-16","Salzburg",15
"2020-03-16","Steiermark",47
"2020-03-16","Tirol",83
"2020-03-16","Vorarlberg",30
"2020-03-16","Wien",17
"2020-03-17","Burgenland",3
"2020-03-17","Kärnten",11
"2020-03-17","Niederösterreich",54
"2020-03-17","Oberösterreich",57
"2020-03-17","Salzburg",26
"2020-03-17","Steiermark",41
"2020-03-17","Tirol",53
"2020-03-17","Vorarlberg",22
"2020-03-17","Wien",47
"2020-03-18","Burgenland",5
"2020-03-18","Kärnten",8
"2020-03-18","Niederösterreich",32
"2020-03-18","Oberösterreich",57
"2020-03-18","Salzburg",24
"2020-03-18","Steiermark",37
"2020-03-18","Tirol",84
"2020-03-18","Vorarlberg",32
"2020-03-18","Wien",53
